Id,author,year,URL
532,"Zongo I, Milligan P, Compaore YD, Some AF, Greenwood B, Tarning J, Rosenthal PJ, Sutherland C, Nosten F, Ouedraogo JB",2015,http://www.ncbi.nlm.nih.gov/pubmed/?term=25918149
24028570,van Schalkwyk DA,2013,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=3847303&tool=pmcentrez&rendertype=abstract
26516402,"Sondo P, Derra K, Tarnagda Z, Nakanabo SD, Zampa O, Kazienga A, Valea I, Sorgho H, Ouedraogo JB, Guiguemde TR, Tinto H",2015,http://www.ncbi.nlm.nih.gov/pubmed/?term=26516402
27031231,"Sondo P, Derra K, Diallo Nakanabo S, Tarnagda Z, Kazienga A, Zampa O, Valéa I, Sorgho H, Owusu-Dabo E, Ouédraogo JB, Guiguemdé TR, Tinto H",2016,http://www.ncbi.nlm.nih.gov/pubmed/?term=27031231
497,"Somé AF, Sorgho H, Zongo I, Bazié T, Nikiéma F, Sawadogo A, Zongo M, Compaoré YD, Ouédraogo JB",2016,http://www.ncbi.nlm.nih.gov/pubmed/?term=28004634
449,Paul Sondo,2016,NA
12499174,Lim P,2003,http://www.ncbi.nlm.nih.gov/pubmed/?term=12499174
20421395,Imwong M,2010,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=2897287&tool=pmcentrez&rendertype=abstract
19641202,Dondorp AM,2009,http://www.nejm.org/doi/full/10.1056/NEJMoa0808859
715,"Iwagami M, Tangpukdee N, Wilairatana P, Krudsood S, Dao LD, Nakazawa S, Sinuon M, Socheat D, Yasuoka J, Jimba M, Watanabe H, Kobayashi J, Toma H, Vanisaveth V, Hongvanthong B, Brey PT, Kano S.",2018,https://www.ncbi.nlm.nih.gov/pubmed/?term=30165262
25049252,Lanteri CA,2014,http://www.ncbi.nlm.nih.gov/pubmed/25049252
12455495,Basco L,2002,http://www.ncbi.nlm.nih.gov/pubmed/12455495
12455496,Basco L,2002,http://www.ncbi.nlm.nih.gov/pubmed/12455496
631,"Moyeh MN, Njimoh DL, Evehe MS, Ali IM, Nji AM, Nkafu DN, Masumbe PN, Barbara AT, Ndikum VN, Mbacham WF.",2018,https://www.ncbi.nlm.nih.gov/pubmed/?term=29854394
20105282,Mbacham WF,2010,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=2831903&tool=pmcentrez&rendertype=abstract
22498364,Menard S,2012,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=3368752&tool=pmcentrez&rendertype=abstract
24092656,Ngassa Mbenda HG,2014,http://www.ncbi.nlm.nih.gov/pubmed/24092656
604,"Apinjoh TO, Mugri RN, Miotto O, Chi HF, Tata RB, Anchang-Kimbi JK, Fon EM, Tangoh DA, Nyingchu RV, Jacob C, Amato R, Djimde A, Kwiatkowski D, Achidi EA, Amambua-Ngwa A",2017,http://www.ncbi.nlm.nih.gov/pubmed/?term=29110722
801,"Moyeh MN, Fankem SN, Ali IM, Sofeu D, Sandie SM, Njimoh DL, Ghogomu SM, Kimbi HK, Mbacham WF.",2022,https://pubmed.ncbi.nlm.nih.gov/35357271/
16474071,Menard D,2006,http://www.ncbi.nlm.nih.gov/pubmed/16474071
740,"Amor A, Toro C, FernÃ¡ndez-MartÃ­nez A, Baquero M, Benito A, Berzosa P.",2012,https://www.ncbi.nlm.nih.gov/pubmed/?term=22462737
607,"Suttipat Srisutham, Nguyen Than Thuy-Nhien, Ranitha Vongpromek, Teeradet Khomvarn, Mayfong Mayxay, Olivo Miotto, Francois Nosten, Frank Smithuis, Rob van der Pluijm, Lorenz von Seidlein, Carol H Sibley, Philippe J. Guérin, Nicholas P. J. Day, Arjen Dondorp, Mehul Dhorda, Mallika Imwong",2016,NA
15827277,Wang X,2005,http://www.ncbi.nlm.nih.gov/pubmed/?term=15827277
17875016,Yang Z,2007,http://www.ncbi.nlm.nih.gov/pubmed/17875016
17954685,Chen N,2008,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=2223894&tool=pmcentrez&rendertype=abstract
19772548,Zhang GQ,2009,http://www.ncbi.nlm.nih.gov/pubmed/19772548
22839209,Huang F,2012,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=3459721&tool=pmcentrez&rendertype=abstract
772,"Ruimin Zhou, Chengyun Yang, Suhua Li, Yuling Zhao, Ying Liu,a Dan Qian, Hao Wang, Deling Lu, Hongwei Zhang, Fang Huangb",2019,https://www.ncbi.nlm.nih.gov/pubmed/?term=31358591
25691632,Feng J,2015,http://www.ncbi.nlm.nih.gov/pubmed/25691632
18165517,Echeverry DF,2007,http://www.ncbi.nlm.nih.gov/pubmed/18165517
24657918,Jovel IT,2014,http://www.ncbi.nlm.nih.gov/pubmed/24657918
19462557,Restrepo E,2008,http://www.ncbi.nlm.nih.gov/pubmed/19462557
18426617,RESTREPO-PINEDA E,2008,http://www.ncbi.nlm.nih.gov/pubmed/18426617
595,"Obaldia N, Baro NK, Calzada JE, Santamaria AM, Daniels R, Wong W, Chang HH, Hamilton EJ, Arevalo-Herrera M, Herrera S, Wirth DF, Hartl DL, Marti M, Volkman SK",2015,http://www.ncbi.nlm.nih.gov/pubmed/?term=25336725
15228252,Gonzales IJ,2003,http://www.ncbi.nlm.nih.gov/pubmed/?term=15228252
15638145,Randrianarivelojosia M,2004,http://www.ncbi.nlm.nih.gov/pubmed/15638145
16310329,Parola P,2005,http://www.ncbi.nlm.nih.gov/pubmed/16310329
17827355,"Parola P, Pradines B, Simon F, Carlotti MP, Minodier P, Ranjeva MP, Badiaga S, Bertaux L, Delmont J, Morillon M, Silai R, Brouqui P, Parzy D",2007,http://www.ncbi.nlm.nih.gov/pubmed/?term=17827355
507,"Huang B, Wang Q, Deng C, Wang J, Yang T, Huang S, Su XZ, Liu Y, Pan L, Li G, Li D, Zhang H, Bacar A, Abdallah KS, Attoumane R, Mliva AM, Zheng S, Xu Q, Lu F, Guan Y, Song J",2016,http://www.ncbi.nlm.nih.gov/pubmed/?term=27527604
16185238,Nsimba B,2005,http://www.ncbi.nlm.nih.gov/pubmed/16185238
16002038,Mayengue PI,2005,http://www.ncbi.nlm.nih.gov/pubmed/16002038
737,"Tsumori Y, Ndounga M, Sunahara T, Hayashida N, Inoue M, Nakazawa S, Casimiro P, Isozumi R, Uemura H, Tanabe K, Kaneko O, Culleton R.",2011,https://www.ncbi.nlm.nih.gov/pubmed/?term=21858115
24732459,Antonia AL,2014,http://www.ncbi.nlm.nih.gov/pubmed/?term=24732459
19346374,Mobula L,2009,http://www.ajtmh.org/content/80/4/555.long
22463364,Koukouikila-Koussounda F,2012,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=3349535&tool=pmcentrez&rendertype=abstract
24359280,Makaba Mvumbi D,2013,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=3878180&tool=pmcentrez&rendertype=abstract
24060234,Juliao PC,2013,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=3849196&tool=pmcentrez&rendertype=abstract
797,"Yobi DM, Kayiba NK, Mvumbi DM, Boreux R, Kabututu PZ, Akilimali PZ, Situakibanza HNT, De Mol P, Speybroeck N, Mvumbi GL, Hayette MP.",2022,https://pubmed.ncbi.nlm.nih.gov/35144535/
503,"Roseau JB, Pradines B, Paleiron N, Vedy S, Madamet M, Simon F, Javelle E",2016,http://www.ncbi.nlm.nih.gov/pubmed/?term=27646822
26651993,"Sáenz FE, Morton LC, Okoth SA, Valenzuela G, Vera-Arias CA, Vélez-Álvarez E, Lucchi NW, Castro LE, Udhayakumar V",2014,http://www.ncbi.nlm.nih.gov/pubmed/?term=26651993
806,"Berzosa P, Molina de la Fuente I, Ta-Tang TH, González V, García L, Rodríguez-Galet A, Díaz-Regañón R, Galán R, Cerrada-Gálvez L, Ncogo P, Riloha M, Benito A.",2021,https://pubmed.ncbi.nlm.nih.gov/34906159/
23537170,Mendes C,2013,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=3621214&tool=pmcentrez&rendertype=abstract
475,"Guerra M, Neres R, Salgueiro P, Mendes C, Ndong-Mabale N, Berzosa P, de Sousa B, Arez AP",2017,http://www.ncbi.nlm.nih.gov/pubmed/?term=27795385
557,"Berzosa P, Esteban-Cantos A, García L, González V, Navarro M, Fernández T, Romay-Barja M, Herrador Z, Rubio JM, Ncogo P, Santana-Morales M, Valladares B, Riloha M, Benito A",2017,http://www.ncbi.nlm.nih.gov/pubmed/?term=28086777
795,"Liu Y, Liang X, Li J, Chen J, Huang H, Zheng Y, He J, Ehapo CS, Eyi UM, Yang P, Lin L, Chen W, Sun G, Liu X, Zha G, Wang J, Wang C, Wei H, Lin M.",2022,https://pubmed.ncbi.nlm.nih.gov/35670601/
26875763,"Menegon M, Nurahmed AM, Talha AA, Nour BY, Severini C",2016,http://www.ncbi.nlm.nih.gov/pubmed/?term=26875763
16817953,Schunk M,2006,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=1524791&tool=pmcentrez&rendertype=abstract
738,"Patricia Mula, Amalia Fernández-Martínez, Aida de Lucio, Jose Manuel Ramos, Francisco Reyes, Vicenta González, Agustín Benito,Pedro Berzosa",2011,https://www.ncbi.nlm.nih.gov/pubmed/?term=21810256
24964730,Kebede S,2014,http://www.ncbi.nlm.nih.gov/pubmed/24964730
24674605,Golassa L,2014,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=3986696&tool=pmcentrez&rendertype=abstract
25986047,NA,NA,NA
571,"Lo E, Hemming-Schroeder E, Yewhalaw D, Nguyen J, Kebede E, Zemene E, Getachew S, Tushune K, Zhong D, Zhou G, Petros B, Yan G",2017,http://www.ncbi.nlm.nih.gov/pubmed/?term=28746333
22232280,Legrand E,2012,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=3294927&tool=pmcentrez&rendertype=abstract
16235185,Uhlemann AC,2005,http://www.ncbi.nlm.nih.gov/pubmed/16235185
22004584,Frank M,2011,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=3215978&tool=pmcentrez&rendertype=abstract
21251998,Lekana-Douki JB,2011,http://www.ncbi.nlm.nih.gov/pubmed/21251998
23153201,Zatra R,2012,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=3534593&tool=pmcentrez&rendertype=abstract
506,"Maghendji-Nzondo S, Kouna LC, Mourembou G, Boundenga L, Imboumy-Limoukou RK, Matsiegui PB, Manego-Zoleko R, Mbatchi B, Raoult D, Toure-Ndouo F, Lekana-Douki JB",2016,http://www.ncbi.nlm.nih.gov/pubmed/?term=27538948
18008244,Ord R,2007,http://www.ncbi.nlm.nih.gov/pubmed/18008244
12518847,Sutherland CJ,2002,http://www.ncbi.nlm.nih.gov/pubmed/12518847
15388456,Hallett RL,2004,http://www.ncbi.nlm.nih.gov/pubmed/?term=15388456
16206082,Meerman L,2005,http://www.ncbi.nlm.nih.gov/pubmed/16206082
16117966,Ehrhardt S,2003,http://www.ncbi.nlm.nih.gov/pubmed/?term=16117966
17562799,Ehrhardt,2007,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=2043215&tool=pmcentrez&rendertype=abstract
17467758,Wichmann O,2007,http://www.ncbi.nlm.nih.gov/pubmed/17467758
17158810,Duah NO,2007,http://www.ncbi.nlm.nih.gov/pubmed/17158810
24172030,Duah NO,2013,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=3819684&tool=pmcentrez&rendertype=abstract
21327004,Abruquah HH,2010,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2994155/
21288822,"Md Tauqeer Alam, Dziedzom K. de Souza, Sumiti Vinayak, Sean M. Griffing, Amanda C. Poe, Nancy O. Duah, Anita Ghansah, Kwame Asamoa, Laurence Slutsker, Michael D. Wilson, John W. Barnwell, Venkatachalam Udhayakumar, and Kwadwo A. Koram",2011,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=3071065&tool=pmcentrez&rendertype=abstract
21745377,Kwansa-Bentum B,2011,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=3146903&tool=pmcentrez&rendertype=abstract
24727053,Afoakwah R,2014,http://www.ncbi.nlm.nih.gov/pubmed/24727053
27026134,"Asare KK, Boampong JN, Duah NO, Afoakwah R, Sehgal R, Quashie NB",2016,http://www.ncbi.nlm.nih.gov/pubmed/?term=27026134
25348538,Feng J,2015,http://www.ncbi.nlm.nih.gov/pubmed/25348538
780,"Mensah BA, Aydemir O, Myers-Hansen JL, Opoku M, Hathaway NJ, Marsh PW, Anto F, Bailey J, Abuaku B, Ghansah A.",2020,https://pubmed.ncbi.nlm.nih.gov/31932374/
759,"Dieng CC, Gonzalez L, Pestana K, Dhikrullahi SB, Amoah LE, Afrane YA, Lo E.",2019,https://www.ncbi.nlm.nih.gov/pubmed/?term=31315304
22208458,"Yumiko Saito-Nakano, Kazuyuki Tanabe, Toshihiro Mita",2011,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=3309963&tool=pmcentrez&rendertype=abstract
11679121,Mockenhaupt FP,2001,http://www.ncbi.nlm.nih.gov/pubmed/11679121
25421474,Jovel IT,2015,http://www.ncbi.nlm.nih.gov/pubmed/25421474
19718439,Ursing J,2009,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=2729929&tool=pmcentrez&rendertype=abstract
17488902,Ursing J,2007,http://www.ncbi.nlm.nih.gov/pubmed/17488902
17467343,Ursing J,2007,http://www.ncbi.nlm.nih.gov/pubmed/17467343
21148503,Ursing J,2011,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=3086436&tool=pmcentrez&rendertype=abstract
775,"Ursing J, Rombo L, Eksborg S, Larson L, Bruvoll A, Tarning J, Rodrigues A, Kofoed PE.",2020,NA
567,"Nag S, Dalgaard MD, Kofoed PE, Ursing J, Crespo M, Andersen LO, Aarestrup FM, Lund O, Alifrangis M",2017,http://www.ncbi.nlm.nih.gov/pubmed/?term=28546554
619,NA,NA,NA
15322628,Best Plummer W,2004,http://www.ncbi.nlm.nih.gov/pubmed/15322628
19402959,Londono BL,2009,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=2686998&tool=pmcentrez&rendertype=abstract
518,"Charles M, Das S, Daniels R, Kirkman L, Delva GG, Destine R, Escalante A, Villegas L, Daniels NM, Shigyo K, Volkman SK, Pape JW, Golightly LM",2016,http://www.ncbi.nlm.nih.gov/pubmed/?term=27089479
510,"Morton LC, Huber C, Okoth SA, Griffing S, Lucchi N, Ljolje D, Boncy J, Oscar R, Townes D, McMorrow M, Chang MA, Udhayakumar V, Barnwell JW",2016,http://www.ncbi.nlm.nih.gov/pubmed/?term=27430541
22840888,Gharbi M,2012,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3414028/
24252305,ElBadry MA,2013,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=3879102&tool=pmcentrez&rendertype=abstract
783,"Rogier E, Herman C, Huber CS, Hamre KES, Pierre B, Mace KE, Pr?©sum?© J, Mond?©lus G, Romilus I, Elism?© T, Eisele TP, Druetz T, Existe A, Boncy J, Lemoine JF, Udhayakumar V, Chang MA.",2020,https://pubmed.ncbi.nlm.nih.gov/32310062/
711,"Vincent JP, Komaki-Yasuda K, Existe AV, Boncy J, Kano S.",2018,https://www.ncbi.nlm.nih.gov/pubmed/?term=30334724
23458957,Meija Torres RE,2013,http://www.ncbi.nlm.nih.gov/pubmed/23458957
22183028,Jovel IT,2011,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=3266654&tool=pmcentrez&rendertype=abstract
807,"Fontecha G, Pinto A, Archaga O, Betancourth S, Escober L, Henríquez J, Valdivia HO, Montoya A, Mejía RE.",2021,https://pubmed.ncbi.nlm.nih.gov/34906144/
12826304,Vinayak S,2003,http://www.ncbi.nlm.nih.gov/pubmed/?term=12826304
15031513,Vathsala PG,2004,http://www.ncbi.nlm.nih.gov/pubmed/15031513
22236376,Mallick PK,2012,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=3283508&tool=pmcentrez&rendertype=abstract
16516311,Vinayak S,2006,http://www.ncbi.nlm.nih.gov/pubmed/16516311
19426658,Valecha N,2009,http://www.ncbi.nlm.nih.gov/pubmed/19426658
16288790,Mishra S,2006,http://www.ncbi.nlm.nih.gov/pubmed/16288790
16586369,Mittra P,2006,http://www.ncbi.nlm.nih.gov/pubmed/16586369
15303989,Ranjit MR,2004,http://www.ncbi.nlm.nih.gov/pubmed/15303989
19220141,Lumb V,2009,http://www.ncbi.nlm.nih.gov/pubmed/19220141
526,"Tyagi RK, Das MK, Singh SS, Sharma YD",2013,http://www.ncbi.nlm.nih.gov/pubmed/?term=23292346
18577328,Sahu PK,2008,http://www.ncbi.nlm.nih.gov/pubmed/18577328
17428514,Pati SS,2007,http://www.ncbi.nlm.nih.gov/pubmed/17428514
19912592,Bharti PK,2010,http://www.ncbi.nlm.nih.gov/pubmed/19912592
17852923,Biswas S,2008,http://www.ncbi.nlm.nih.gov/pubmed/17852923
17609321,Keen J,2007,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=2045286&tool=pmcentrez&rendertype=abstract
20038626,Mixson-Hayden T,2010,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=2826016&tool=pmcentrez&rendertype=abstract
456,"Mohapatra PK, Sarma DK, Prakash A, Bora K, Ahmed MA, Sarma B, Goswami BK, Bhattacharyya DR, Mahanta J",2014,http://www.ncbi.nlm.nih.gov/pubmed/?term=25184337
19454000,Valecha N,2009,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=2693515&tool=pmcentrez&rendertype=abstract
623,Sabyasachi Das,2017,https://www.ncbi.nlm.nih.gov/pubmed/28692943
23357175,Das Sutar SK,2013,http://www.ncbi.nlm.nih.gov/pubmed/23357175
21340360,Sutar SKD,2011,http://www.ncbi.nlm.nih.gov/pubmed/21340360
23509121,Das S,2013,http://www.ncbi.nlm.nih.gov/pubmed/23509121
20363804,Das MK,2010,http://www.ncbi.nlm.nih.gov/pubmed/20363804
24916876,Goswami D,2014,http://www.ncbi.nlm.nih.gov/pubmed/?term=24916876
24911283,Chauhan K,2014,http://www.ncbi.nlm.nih.gov/pubmed/24911283
24157593,Chauhan K,2013,http://www.ncbi.nlm.nih.gov/pubmed/24157593
22314538,Saha P,2012,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=3346630&tool=pmcentrez&rendertype=abstract
364,Pathak A,2014,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=4036110&tool=pmcentrez&rendertype=abstract
23426929,Ganguly S,2013,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=3647920&tool=pmcentrez&rendertype=abstract
25405214,"Gupta P, Singh R, Khan H, Raza A, Yadavendu V, Bhatt RM, Singh V",2014,http://www.ncbi.nlm.nih.gov/pubmed/?term=25405214
27080771,"Sharma J, Soni M, Dutta P, Khan SA, Mahanta J",NA,http://www.ncbi.nlm.nih.gov/pubmed/?term=27080771
27222806,"Antony HA, Das S, Parija SC, Padhi S",2016,http://www.ncbi.nlm.nih.gov/pubmed/?term=27222806
517,"Antony HA, Das S, Parija SC, Padhi S",2016,http://www.ncbi.nlm.nih.gov/pubmed/?term=27222806
509,"Chatterjee M, Ganguly S, Saha P, Guha SK, Basu N, Bera DK, Maji AK",2016,http://www.ncbi.nlm.nih.gov/pubmed/?term=27448953
418,"Rao PN, Uplekar S, Kayal S, Mallick PK, Bandyopadhyay N, Kale S, Singh OP, Mohanty A, Mohanty S, Wassmer SC, Carlton JM",2016,http://www.ncbi.nlm.nih.gov/pubmed/?term=27008882
605,"Patel P, Bharti PK, Bansal D, Ali NA, Raman RK, Mohapatra PK, Sehgal R, Mahanta J, Sultan AA, Singh N",2017,http://www.ncbi.nlm.nih.gov/pubmed/?term=29192183
760,"Kumar A, Singh SP, Bhatt R, Singh V",2019,https://www.ncbi.nlm.nih.gov/pubmed/?term=31791329
716,"Das S, Manna S, Saha B, Hati AK, Roy S.",2018,https://www.ncbi.nlm.nih.gov/pubmed/?term=30535043
813,"Sabyasachi Das, Amrita Kar, Subhankar Manna, Samaresh Mandal, Sayantani Mandal, Subhasis Das, Bhaskar Saha & Amiya Kumar Hati",2021,https://doi.org/10.1038/s41598-021-89295-0
14740877,SYAFRUDDIN D,2003,http://www.ncbi.nlm.nih.gov/pubmed/14740877
15741554,SYAFRUDDIN D,2005,http://www.ncbi.nlm.nih.gov/pubmed/15741554
15238686,Huaman MC,2004,http://www.ncbi.nlm.nih.gov/pubmed/15238686
17760967,Syafruddin D,2007,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=2014775&tool=pmcentrez&rendertype=abstract
19788738,Asih PBS,2009,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=2761937&tool=pmcentrez&rendertype=abstract
563,"Reteng P, Vrisca V, Sukarno I, Djarkoni IH, Kalangi JA, Jacobs GE, Runtuwene LR, Eshita Y, Maeda R, Suzuki Y, Mongan AE, Warouw SM, Yamagishi J, Tuda J",2017,http://www.ncbi.nlm.nih.gov/pubmed/?term=28376874
11672462,Maguire JD,2001,http://www.ncbi.nlm.nih.gov/pubmed/?term=11672462
12875286,Nagesha HS,2003,http://www.ncbi.nlm.nih.gov/pubmed/12875286
22908898,Asih PBS,2012,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=3478225&tool=pmcentrez&rendertype=abstract
12803866,Jafari,2003,http://www.ncbi.nlm.nih.gov/pubmed/12803866
16490179,Ursing J,2006,http://www.ncbi.nlm.nih.gov/pubmed/16490179
17999755,Zakeri S,2007,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=2214731&tool=pmcentrez&rendertype=abstract
18385361,Zakeri S,2008,http://www.ncbi.nlm.nih.gov/pubmed/18385361
22001304,Afsharpad M,2012,http://www.ncbi.nlm.nih.gov/pubmed/22001304
19450282,Mwai L,2009,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=2694831&tool=pmcentrez&rendertype=abstract
