country,year,ACT,data type,Region,lat,long,displayName,layerName,layerTitle,value,continent,val,tested,prev,title,pubMedId,sid,mutation,site,estLoc,present,authors,PR,Prev_DR,ACT_use
Cambodia,2010,NA,DHS,SEA,12.86,102.61,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.012633121,Asia,associated with slow clearance,39,41.03% [27.08 - 56.58],NA,25180241,XDSXA,C580Y,Pailin,0,16,Independent emergence of artemisinin resistance mutations among Plasmodium falciparum in Southeast Asia.,1.263312064,41.02564103,NA
Cambodia,2010,NA,DHS,SEA,12.86,102.61,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.012633121,Asia,associated with slow clearance,66,54.55% [42.62 - 65.98],NA,24352242,JFMKA,C580Y,Pailin,0,36,A molecular marker of artemisinin-resistant Plasmodium falciparum malaria.,1.263312064,54.54545455,NA
Cambodia,2010,NA,DHS,SEA,12.86,102.61,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.012633121,Asia,associated with slow clearance,39,41.03% [27.08 - 56.58],NA,25180241,XDSXA,C580Y,Pailin,0,16,Independent emergence of artemisinin resistance mutations among Plasmodium falciparum in Southeast Asia.,1.263312064,41.02564103,NA
Cambodia,2010,NA,DHS,SEA,12.86,102.61,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.012633121,Asia,associated with slow clearance,66,54.55% [42.62 - 65.98],NA,24352242,JFMKA,C580Y,Pailin,0,36,A molecular marker of artemisinin-resistant Plasmodium falciparum malaria.,1.263312064,54.54545455,NA
Cambodia,2010,NA,DHS,SEA,13.8,107.09,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.023188962,Asia,associated with slow clearance,8,25.0% [7.15 - 59.07],NA,24352242,JFMKA,C580Y,Ratanakiri,0,2,A molecular marker of artemisinin-resistant Plasmodium falciparum malaria.,2.318896167,25,NA
Cambodia,2010,NA,DHS,SEA,13.8,107.09,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.023188962,Asia,associated with slow clearance,8,25.0% [7.15 - 59.07],NA,24352242,JFMKA,C580Y,Ratanakiri,0,2,A molecular marker of artemisinin-resistant Plasmodium falciparum malaria.,2.318896167,25,NA
Cambodia,2014,9.49e-4,DHS,SEA,12.35,103.77,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.007716908,Asia,associated with slow clearance,76,84.21% [74.4 - 90.73],Prevalence of K13 mutation and Day-3 positive parasitaemia in artemisinin-resistant malaria endemic area of Cambodia: a cross-sectional study.,28903755,290,C580Y,Kravanh,0,64,"Kheang ST, Sovannaroth S, Ek S, Chy S, Chhun P, Mao S, Nguon S, Lek DS, Menard D, Kak N",0.771690812,84.21052632,0.0949
Cambodia,2014,9.49e-4,DHS,SEA,12.35,103.77,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.007716908,Asia,associated with slow clearance,76,84.21% [74.4 - 90.73],Prevalence of K13 mutation and Day-3 positive parasitaemia in artemisinin-resistant malaria endemic area of Cambodia: a cross-sectional study.,28903755,290,C580Y,Kravanh,0,64,"Kheang ST, Sovannaroth S, Ek S, Chy S, Chhun P, Mao S, Nguon S, Lek DS, Menard D, Kak N",0.771690812,84.21052632,0.0949
Cambodia,2014,9.49e-4,DHS,SEA,12.91,102.67,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",7.6e-4,Asia,associated with slow clearance,12,91.67% [64.61 - 98.51],A Worldwide Map of Plasmodium falciparum K13-Propeller Polymorphisms.,27332904,1034,C580Y,Pailin,0,11,"Ménard D, Khim N, Beghain J, Adegnika AA, Shafiul-Alam M, Amodu O, Rahim-Awab G, Barnadas C, Berry A, Boum Y, Bustos MD, Cao J, Chen JH, Collet L, Cui L, Thakur GD, Dieye A, Djallé D, Dorkenoo MA, Eboumbou-Moukoko CE, Espino FE, Fandeur T, Ferreira-da-Cruz MF, Fola AA, Fuehrer HP, Hassan AM, Herrera S, Hongvanthong B, Houzé S, Ibrahim ML, Jahirul-Karim M, Jiang L, Kano S, Ali-Khan W, Khanthavong M, Kremsner PG, Lacerda M, Leang R, Leelawong M, Li M, Lin K, Mazarati JB, Ménard S, Morlais I, Muhindo-Mavoko H, Musset L, Na-Bangchang K, Nambozi M, Niaré K, Noedl H, Ouédraogo JB, Pillai DR, Pradines B, Quang-Phuc B, Ramharter M, Randrianarivelojosia M, Sattabongkot J, Sheikh-Omar A, Silué KD, Sirima SB, Sutherland C, Syafruddin D, Tahar R, Tang LH, Touré OA, Tshibangu-wa-Tshibangu P, Vigan-Womas I, Warsame M, Wini L, Zakeri S, Kim S, Eam R, Berne L, Khean C, Chy S, Ken M, Loch K, Canier L, Duru V, Legrand E, Barale JC, Stokes B, Straimer J, Witkowski B, Fidock DA, Rogier C, Ringwald P, Ariey F, Mercereau-Puijalon O,",0.076010247,91.66666667,0.0949
Cambodia,2014,9.49e-4,DHS,SEA,12.91,102.67,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",7.6e-4,Asia,associated with slow clearance,12,91.67% [64.61 - 98.51],A Worldwide Map of Plasmodium falciparum K13-Propeller Polymorphisms.,27332904,1034,C580Y,Pailin,0,11,"Ménard D, Khim N, Beghain J, Adegnika AA, Shafiul-Alam M, Amodu O, Rahim-Awab G, Barnadas C, Berry A, Boum Y, Bustos MD, Cao J, Chen JH, Collet L, Cui L, Thakur GD, Dieye A, Djallé D, Dorkenoo MA, Eboumbou-Moukoko CE, Espino FE, Fandeur T, Ferreira-da-Cruz MF, Fola AA, Fuehrer HP, Hassan AM, Herrera S, Hongvanthong B, Houzé S, Ibrahim ML, Jahirul-Karim M, Jiang L, Kano S, Ali-Khan W, Khanthavong M, Kremsner PG, Lacerda M, Leang R, Leelawong M, Li M, Lin K, Mazarati JB, Ménard S, Morlais I, Muhindo-Mavoko H, Musset L, Na-Bangchang K, Nambozi M, Niaré K, Noedl H, Ouédraogo JB, Pillai DR, Pradines B, Quang-Phuc B, Ramharter M, Randrianarivelojosia M, Sattabongkot J, Sheikh-Omar A, Silué KD, Sirima SB, Sutherland C, Syafruddin D, Tahar R, Tang LH, Touré OA, Tshibangu-wa-Tshibangu P, Vigan-Womas I, Warsame M, Wini L, Zakeri S, Kim S, Eam R, Berne L, Khean C, Chy S, Ken M, Loch K, Canier L, Duru V, Legrand E, Barale JC, Stokes B, Straimer J, Witkowski B, Fidock DA, Rogier C, Ringwald P, Ariey F, Mercereau-Puijalon O,",0.076010247,91.66666667,0.0949
Cambodia,2014,9.49e-4,DHS,SEA,12.79,107.1,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.00813446,Asia,associated with slow clearance,16,75.0% [50.5 - 89.82],Plasmodium falciparum dihydroartemisinin-piperaquine failures in Cambodia are associated with mutant K13 parasites presenting high survival rates in novel piperaquine in vitro assays: retrospective and prospective investigations.,26695060,8,C580Y,Mondulkiri,0,12,"Duru V, Khim N, Leang R, Kim S, Domergue A, Kloeung N, Ke S, Chy S, Eam R, Khean C, Loch K, Ken M, Lek D, Beghain J, Ariey F, Guerin PJ, Huy R, Mercereau-Puijalon O, Witkowski B, Menard D",0.813446008,75,0.0949
Cambodia,2014,9.49e-4,DHS,SEA,13.58,105.97,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.01213213,Asia,associated with slow clearance,13,69.23% [42.37 - 87.32],Plasmodium falciparum dihydroartemisinin-piperaquine failures in Cambodia are associated with mutant K13 parasites presenting high survival rates in novel piperaquine in vitro assays: retrospective and prospective investigations.,26695060,7,C580Y,Stung Treng,0,9,"Duru V, Khim N, Leang R, Kim S, Domergue A, Kloeung N, Ke S, Chy S, Eam R, Khean C, Loch K, Ken M, Lek D, Beghain J, Ariey F, Guerin PJ, Huy R, Mercereau-Puijalon O, Witkowski B, Menard D",1.213212963,69.23076923,0.0949
Cambodia,2014,9.49e-4,DHS,SEA,13.86,107.1,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.008634147,Asia,associated with slow clearance,28,21.43% [10.21 - 39.54],Plasmodium falciparum dihydroartemisinin-piperaquine failures in Cambodia are associated with mutant K13 parasites presenting high survival rates in novel piperaquine in vitro assays: retrospective and prospective investigations.,26695060,5,C580Y,Rattanakiri,0,6,"Duru V, Khim N, Leang R, Kim S, Domergue A, Kloeung N, Ke S, Chy S, Eam R, Khean C, Loch K, Ken M, Lek D, Beghain J, Ariey F, Guerin PJ, Huy R, Mercereau-Puijalon O, Witkowski B, Menard D",0.863414723,21.42857143,0.0949
Cambodia,2014,9.49e-4,DHS,SEA,12.79,107.1,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.00813446,Asia,associated with slow clearance,16,75.0% [50.5 - 89.82],Plasmodium falciparum dihydroartemisinin-piperaquine failures in Cambodia are associated with mutant K13 parasites presenting high survival rates in novel piperaquine in vitro assays: retrospective and prospective investigations.,26695060,8,C580Y,Mondulkiri,0,12,"Duru V, Khim N, Leang R, Kim S, Domergue A, Kloeung N, Ke S, Chy S, Eam R, Khean C, Loch K, Ken M, Lek D, Beghain J, Ariey F, Guerin PJ, Huy R, Mercereau-Puijalon O, Witkowski B, Menard D",0.813446008,75,0.0949
Cambodia,2014,9.49e-4,DHS,SEA,13.58,105.97,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.01213213,Asia,associated with slow clearance,13,69.23% [42.37 - 87.32],Plasmodium falciparum dihydroartemisinin-piperaquine failures in Cambodia are associated with mutant K13 parasites presenting high survival rates in novel piperaquine in vitro assays: retrospective and prospective investigations.,26695060,7,C580Y,Stung Treng,0,9,"Duru V, Khim N, Leang R, Kim S, Domergue A, Kloeung N, Ke S, Chy S, Eam R, Khean C, Loch K, Ken M, Lek D, Beghain J, Ariey F, Guerin PJ, Huy R, Mercereau-Puijalon O, Witkowski B, Menard D",1.213212963,69.23076923,0.0949
Cambodia,2014,9.49e-4,DHS,SEA,13.86,107.1,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.008634147,Asia,associated with slow clearance,28,21.43% [10.21 - 39.54],Plasmodium falciparum dihydroartemisinin-piperaquine failures in Cambodia are associated with mutant K13 parasites presenting high survival rates in novel piperaquine in vitro assays: retrospective and prospective investigations.,26695060,5,C580Y,Rattanakiri,0,6,"Duru V, Khim N, Leang R, Kim S, Domergue A, Kloeung N, Ke S, Chy S, Eam R, Khean C, Loch K, Ken M, Lek D, Beghain J, Ariey F, Guerin PJ, Huy R, Mercereau-Puijalon O, Witkowski B, Menard D",0.863414723,21.42857143,0.0949
Cambodia,2014,9.49e-4,DHS,SEA,13.57,105.36,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.005197152,Asia,associated with slow clearance,11,54.55% [28.01 - 78.73],Assessing the asymptomatic reservoir and dihydroartemisinin-piperaquine effectiveness in a low transmission setting threatened by artemisinin resistant Plasmodium falciparum.,27585957,406,C580Y,Chey Saen,0,6,"Falq G, Van Den Bergh R, De Smet M, Etienne W, Nguon C, Rekol H, Imwong M, Dondorp A, Kindermans JM",0.51971525,54.54545455,0.0949
Cambodia,2014,9.49e-4,DHS,SEA,13.57,105.36,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.005197152,Asia,associated with slow clearance,11,54.55% [28.01 - 78.73],Assessing the asymptomatic reservoir and dihydroartemisinin-piperaquine effectiveness in a low transmission setting threatened by artemisinin resistant Plasmodium falciparum.,27585957,406,C580Y,Chey Saen,0,6,"Falq G, Van Den Bergh R, De Smet M, Etienne W, Nguon C, Rekol H, Imwong M, Dondorp A, Kindermans JM",0.51971525,54.54545455,0.0949
Cambodia,2014,9.49e-4,DHS,SEA,14.17,103.64,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.001893521,Asia,associated with slow clearance,4,100.0% [51.01 - 100.0],A Worldwide Map of Plasmodium falciparum K13-Propeller Polymorphisms.,27332904,1030,C580Y,Oddar Meanchey,0,4,"Ménard D, Khim N, Beghain J, Adegnika AA, Shafiul-Alam M, Amodu O, Rahim-Awab G, Barnadas C, Berry A, Boum Y, Bustos MD, Cao J, Chen JH, Collet L, Cui L, Thakur GD, Dieye A, Djallé D, Dorkenoo MA, Eboumbou-Moukoko CE, Espino FE, Fandeur T, Ferreira-da-Cruz MF, Fola AA, Fuehrer HP, Hassan AM, Herrera S, Hongvanthong B, Houzé S, Ibrahim ML, Jahirul-Karim M, Jiang L, Kano S, Ali-Khan W, Khanthavong M, Kremsner PG, Lacerda M, Leang R, Leelawong M, Li M, Lin K, Mazarati JB, Ménard S, Morlais I, Muhindo-Mavoko H, Musset L, Na-Bangchang K, Nambozi M, Niaré K, Noedl H, Ouédraogo JB, Pillai DR, Pradines B, Quang-Phuc B, Ramharter M, Randrianarivelojosia M, Sattabongkot J, Sheikh-Omar A, Silué KD, Sirima SB, Sutherland C, Syafruddin D, Tahar R, Tang LH, Touré OA, Tshibangu-wa-Tshibangu P, Vigan-Womas I, Warsame M, Wini L, Zakeri S, Kim S, Eam R, Berne L, Khean C, Chy S, Ken M, Loch K, Canier L, Duru V, Legrand E, Barale JC, Stokes B, Straimer J, Witkowski B, Fidock DA, Rogier C, Ringwald P, Ariey F, Mercereau-Puijalon O,",0.18935207,100,0.0949
Cambodia,2014,9.49e-4,DHS,SEA,13.37,103.85,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0,Asia,associated with slow clearance,17,88.24% [65.66 - 96.71],Plasmodium falciparum dihydroartemisinin-piperaquine failures in Cambodia are associated with mutant K13 parasites presenting high survival rates in novel piperaquine in vitro assays: retrospective and prospective investigations.,26695060,6,C580Y,Siem Reap,0,15,"Duru V, Khim N, Leang R, Kim S, Domergue A, Kloeung N, Ke S, Chy S, Eam R, Khean C, Loch K, Ken M, Lek D, Beghain J, Ariey F, Guerin PJ, Huy R, Mercereau-Puijalon O, Witkowski B, Menard D",0,88.23529412,0.0949
Cambodia,2014,9.49e-4,DHS,SEA,13.37,103.85,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0,Asia,associated with slow clearance,17,88.24% [65.66 - 96.71],Plasmodium falciparum dihydroartemisinin-piperaquine failures in Cambodia are associated with mutant K13 parasites presenting high survival rates in novel piperaquine in vitro assays: retrospective and prospective investigations.,26695060,6,C580Y,Siem Reap,0,15,"Duru V, Khim N, Leang R, Kim S, Domergue A, Kloeung N, Ke S, Chy S, Eam R, Khean C, Loch K, Ken M, Lek D, Beghain J, Ariey F, Guerin PJ, Huy R, Mercereau-Puijalon O, Witkowski B, Menard D",0,88.23529412,0.0949
Cambodia,2014,9.49e-4,DHS,SEA,14.17,103.64,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.001893521,Asia,associated with slow clearance,4,100.0% [51.01 - 100.0],A Worldwide Map of Plasmodium falciparum K13-Propeller Polymorphisms.,27332904,1030,C580Y,Oddar Meanchey,0,4,"Ménard D, Khim N, Beghain J, Adegnika AA, Shafiul-Alam M, Amodu O, Rahim-Awab G, Barnadas C, Berry A, Boum Y, Bustos MD, Cao J, Chen JH, Collet L, Cui L, Thakur GD, Dieye A, Djallé D, Dorkenoo MA, Eboumbou-Moukoko CE, Espino FE, Fandeur T, Ferreira-da-Cruz MF, Fola AA, Fuehrer HP, Hassan AM, Herrera S, Hongvanthong B, Houzé S, Ibrahim ML, Jahirul-Karim M, Jiang L, Kano S, Ali-Khan W, Khanthavong M, Kremsner PG, Lacerda M, Leang R, Leelawong M, Li M, Lin K, Mazarati JB, Ménard S, Morlais I, Muhindo-Mavoko H, Musset L, Na-Bangchang K, Nambozi M, Niaré K, Noedl H, Ouédraogo JB, Pillai DR, Pradines B, Quang-Phuc B, Ramharter M, Randrianarivelojosia M, Sattabongkot J, Sheikh-Omar A, Silué KD, Sirima SB, Sutherland C, Syafruddin D, Tahar R, Tang LH, Touré OA, Tshibangu-wa-Tshibangu P, Vigan-Womas I, Warsame M, Wini L, Zakeri S, Kim S, Eam R, Berne L, Khean C, Chy S, Ken M, Loch K, Canier L, Duru V, Legrand E, Barale JC, Stokes B, Straimer J, Witkowski B, Fidock DA, Rogier C, Ringwald P, Ariey F, Mercereau-Puijalon O,",0.18935207,100,0.0949
Myanmar,2016,0.002100777,DHS,SEA,16.82,98.54,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",2.49e-4,Asia,associated with slow clearance,1,100.0% [20.65 - 100.0],"Prevalence of molecular markers of antimalarial drug resistance in Plasmodium falciparum isolates collected from two villages in Kalahandi district, Odisha, India",99999999,1017,C580Y,"Myawaddy, Kayin",0,1,"Mary Dias, George D’Souza, Aquinas Edassery, Mehul Dhorda",0.024930062,100,0.2100777
Myanmar,2016,0.002100777,DHS,SEA,16.45,98.23,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",2.5e-4,Asia,associated with slow clearance,4,25.0% [4.56 - 69.94],"Prevalence of molecular markers of antimalarial drug resistance in Plasmodium falciparum isolates collected from two villages in Kalahandi district, Odisha, India",99999999,1022,C580Y,"Kawkareik, Kayin",0,1,"Mary Dias, George D’Souza, Aquinas Edassery, Mehul Dhorda",0.024957937,25,0.2100777
Myanmar,2016,0.002100777,DHS,SEA,18.27,97.37,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.019356005,Asia,associated with slow clearance,557,2.33% [1.37 - 3.95],"Prevalence of molecular markers of antimalarial drug resistance in Plasmodium falciparum isolates collected from two villages in Kalahandi district, Odisha, India",99999999,1009,C580Y,"Hpapun, Kayin",1,13,"Mary Dias, George D’Souza, Aquinas Edassery, Mehul Dhorda",1.935600489,2.333931777,0.2100777
Myanmar,2016,0.002100777,DHS,SEA,18.27,97.37,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.019356005,Asia,associated with slow clearance,557,2.33% [1.37 - 3.95],"Prevalence of molecular markers of antimalarial drug resistance in Plasmodium falciparum isolates collected from two villages in Kalahandi district, Odisha, India",99999999,1009,C580Y,"Hpapun, Kayin",1,13,"Mary Dias, George D’Souza, Aquinas Edassery, Mehul Dhorda",1.935600489,2.333931777,0.2100777
Myanmar,2016,0.002100777,DHS,SEA,16.82,98.54,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",2.49e-4,Asia,associated with slow clearance,1,100.0% [20.65 - 100.0],"Prevalence of molecular markers of antimalarial drug resistance in Plasmodium falciparum isolates collected from two villages in Kalahandi district, Odisha, India",99999999,1017,C580Y,"Myawaddy, Kayin",0,1,"Mary Dias, George D’Souza, Aquinas Edassery, Mehul Dhorda",0.024930062,100,0.2100777
Myanmar,2016,0.002100777,DHS,SEA,16.45,98.23,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",2.5e-4,Asia,associated with slow clearance,4,25.0% [4.56 - 69.94],"Prevalence of molecular markers of antimalarial drug resistance in Plasmodium falciparum isolates collected from two villages in Kalahandi district, Odisha, India",99999999,1022,C580Y,"Kawkareik, Kayin",0,1,"Mary Dias, George D’Souza, Aquinas Edassery, Mehul Dhorda",0.024957937,25,0.2100777
